user_id,subscription_type,monthly_revenue,join_date,last_payment_date,country
1,Basic,10,15-01-22,10-06-23,United States
2,Premium,15,05-09-21,22-06-23,Canada
3,Standard,12,28-02-23,27-06-23,United Kingdom
4,Standard,12,10-07-22,26-06-23,Australia
5,Basic,10,01-05-23,28-06-23,Germany
6,Premium,15,18-03-22,27-06-23,France
7,Standard,12,09-12-21,25-06-23,Brazil
8,Basic,10,02-04-23,24-06-23,Mexico
9,Standard,12,20-10-22,23-06-23,Spain
10,Premium,15,07-01-23,22-06-23,Italy
11,Basic,10,16-05-22,22-06-23,United States
12,Premium,15,23-03-23,28-06-23,Canada
13,Standard,12,30-11-21,27-06-23,United Kingdom
14,Basic,10,01-08-22,26-06-23,Australia
15,Standard,12,09-05-23,28-06-23,Germany
16,Premium,15,07-04-22,27-06-23,France
17,Basic,10,24-01-22,25-06-23,Brazil
18,Standard,12,18-10-21,24-06-23,Mexico
19,Premium,15,15-02-23,23-06-23,Spain
20,Basic,10,27-05-23,22-06-23,Italy
21,Premium,15,10-06-23,22-06-23,United States
22,Basic,10,22-07-22,28-06-23,Canada
23,Standard,12,05-12-21,27-06-23,United Kingdom
24,Standard,12,03-04-22,26-06-23,Australia
25,Basic,10,14-03-23,28-06-23,Germany
26,Premium,15,12-01-22,27-06-23,France
27,Basic,10,29-08-22,25-06-23,Brazil
28,Standard,12,27-09-21,24-06-23,Mexico
29,Premium,15,19-12-22,23-06-23,Spain
30,Basic,10,17-05-23,22-06-23,Italy
31,Premium,15,03-02-23,22-06-23,United States
32,Basic,10,07-07-22,28-06-23,Canada
33,Standard,12,21-01-22,27-06-23,United Kingdom
34,Standard,12,25-05-22,26-06-23,Australia
35,Basic,10,11-04-23,28-06-23,Germany
36,Premium,15,01-03-22,27-06-23,France
37,Basic,10,14-09-22,25-06-23,Brazil
38,Standard,12,05-11-21,24-06-23,Mexico
39,Premium,15,28-12-22,23-06-23,Spain
40,Basic,10,07-03-23,22-06-23,Italy
41,Premium,15,20-01-23,22-06-23,United States
